"Row.names","Top","p.value","FDR","summary.logFC","logFC.Spermatocytes","ID","Symbol"
"ENSMUSG00000066551",28,0,0,2.42812918291306,2.42812918291306,"ENSMUSG00000066551","Hmgb1"
"ENSMUSG00000071076",43,0,0,2.38013263170426,2.38013263170426,"ENSMUSG00000071076","Jund"
"ENSMUSG00000031431",41,0,0,2.20380906015334,2.20380906015334,"ENSMUSG00000031431","Tsc22d3"
"ENSMUSG00000029177",60,0,0,2.19488290160072,2.19488290160072,"ENSMUSG00000029177","Cenpa"
"ENSMUSG00000015217",48,0,0,2.07597569277011,2.07597569277011,"ENSMUSG00000015217","Hmgb3"
"ENSMUSG00000059625",67,0,0,1.92213222470343,1.92213222470343,"ENSMUSG00000059625","Sohlh1"
"ENSMUSG00000024837",59,0,0,1.75604598445618,1.75604598445618,"ENSMUSG00000024837","Dmrt1"
"ENSMUSG00000076431",77,0,0,1.70445350100308,1.70445350100308,"ENSMUSG00000076431","Sox4"
"ENSMUSG00000020923",83,0,0,1.3563727906617,1.3563727906617,"ENSMUSG00000020923","Ubtf"
"ENSMUSG00000028522",84,0,0,1.3234031677775,1.3234031677775,"ENSMUSG00000028522","Mier1"
"ENSMUSG00000029249",96,0,0,1.28857851974691,1.28857851974691,"ENSMUSG00000029249","Rest"
"ENSMUSG00000001472",91,0,0,1.23211258258948,1.23211258258948,"ENSMUSG00000001472","Tcf25"
"ENSMUSG00000020167",98,0,0,1.13662170941672,1.13662170941672,"ENSMUSG00000020167","Tcf3"
"ENSMUSG00000071341",136,3.44922320720499e-225,3.81697126973791e-224,1.09705212660389,1.09705212660389,"ENSMUSG00000071341","Egr4"
"ENSMUSG00000032481",121,1.01817904333317e-265,1.26641277703833e-264,0.947617220033202,0.947617220033202,"ENSMUSG00000032481","Smarcc1"
"ENSMUSG00000090125",117,2.41939749167051e-274,3.11213096150762e-273,0.934870519149166,0.934870519149166,"ENSMUSG00000090125","Pou3f1"
"ENSMUSG00000002996",116,1.68231733867152e-276,2.18266171956958e-275,0.907620999691164,0.907620999691164,"ENSMUSG00000002996","Hbp1"
"ENSMUSG00000054717",138,2.21703123659241e-219,2.41784928338523e-218,0.889941534873007,0.889941534873007,"ENSMUSG00000054717","Hmgb2"
"ENSMUSG00000036442",122,8.87067427779403e-261,1.09429219574423e-259,0.863002480730341,0.863002480730341,"ENSMUSG00000036442","Thap11"
"ENSMUSG00000044167",120,2.1018089749196e-266,2.63601875604491e-265,0.849567614102829,0.849567614102829,"ENSMUSG00000044167","Foxo1"
"ENSMUSG00000029723",127,1.35810680855218e-244,1.60941003690627e-243,0.835747050731699,0.835747050731699,"ENSMUSG00000029723","Tsc22d4"
"ENSMUSG00000050197",137,8.16699396395615e-225,8.97177074142667e-224,0.826339776682874,0.826339776682874,"ENSMUSG00000050197","Rhox13"
"ENSMUSG00000024968",124,1.92739765090938e-249,2.33930118114418e-248,0.788760681432223,0.788760681432223,"ENSMUSG00000024968","Rcor2"
"ENSMUSG00000052253",146,9.86221447435913e-213,1.01661868382948e-211,0.785175505687215,0.785175505687215,"ENSMUSG00000052253","Zfp622"
"ENSMUSG00000016503",148,8.41093097629172e-210,8.55300751305328e-209,0.771630684038615,0.771630684038615,"ENSMUSG00000016503","Gtf3a"
"ENSMUSG00000051510",128,4.59832936274817e-241,5.40662944604347e-240,0.766232420092818,0.766232420092818,"ENSMUSG00000051510","Mafg"
"ENSMUSG00000066687",145,1.36705852294476e-216,1.41891246691851e-215,0.749879995355154,0.749879995355154,"ENSMUSG00000066687","Zbtb16"
"ENSMUSG00000025959",140,6.33338916525922e-219,6.80839335265359e-218,0.737155406015607,0.737155406015607,"ENSMUSG00000025959","Klf7"
"ENSMUSG00000038518",159,1.50815259318781e-195,1.42752808348907e-194,0.693837121521714,0.693837121521714,"ENSMUSG00000038518","Jarid2"
"ENSMUSG00000008393",160,2.98208340999364e-193,2.80502220752532e-192,0.685989013715188,0.685989013715188,"ENSMUSG00000008393","Carhsp1"
"ENSMUSG00000039967",157,1.44925917674009e-200,1.389258000633e-199,0.657789315430606,0.657789315430606,"ENSMUSG00000039967","Zfp292"
"ENSMUSG00000024081",194,7.12905798548196e-152,5.53053209698477e-151,0.657544682671773,0.657544682671773,"ENSMUSG00000024081","Cebpz"
"ENSMUSG00000027490",154,1.25468005112182e-202,1.22616459541452e-201,0.640975082958712,0.640975082958712,"ENSMUSG00000027490","E2f1"
"ENSMUSG00000032411",171,1.73971111765035e-181,1.53114925851681e-180,0.634830649206517,0.634830649206517,"ENSMUSG00000032411","Tfdp2"
"ENSMUSG00000020453",149,4.2872795327237e-205,4.33044006493234e-204,0.629340972027184,0.629340972027184,"ENSMUSG00000020453","Patz1"
"ENSMUSG00000027547",168,1.1001501253087e-184,9.85551153922357e-184,0.622856635725303,0.622856635725303,"ENSMUSG00000027547","Sall4"
"ENSMUSG00000047534",203,1.62147623996136e-146,1.20212893652307e-145,0.62254519835511,0.62254519835511,"ENSMUSG00000047534","Mis18bp1"
"ENSMUSG00000031885",183,3.44961120730336e-162,2.83697533715379e-161,0.615796096268907,0.615796096268907,"ENSMUSG00000031885","Cbfb"
"ENSMUSG00000032228",165,7.75449948410218e-188,7.07304346883265e-187,0.613809006651741,0.613809006651741,"ENSMUSG00000032228","Tcf12"
"ENSMUSG00000033943",182,1.45422702575565e-162,1.20253388668258e-161,0.599977374698354,0.599977374698354,"ENSMUSG00000033943","Mga"
"ENSMUSG00000037572",170,3.66791146887095e-183,3.24718044744172e-182,0.596058591344987,0.596058591344987,"ENSMUSG00000037572","Wdhd1"
"ENSMUSG00000024563",188,4.1394167421015e-156,3.31373521109715e-155,0.595584698876402,0.595584698876402,"ENSMUSG00000024563","Smad2"
"ENSMUSG00000014592",243,4.65808230259192e-111,2.88494397753122e-110,0.571265439750398,0.571265439750398,"ENSMUSG00000014592","Camta1"
"ENSMUSG00000002393",175,6.83831566453991e-175,5.88095147150434e-174,0.567724828687562,0.567724828687562,"ENSMUSG00000002393","Nr2f6"
"ENSMUSG00000030796",172,8.465630650943e-180,7.40742681957529e-179,0.561214988684395,0.561214988684395,"ENSMUSG00000030796","Tead2"
"ENSMUSG00000015839",173,1.02814802743691e-177,8.94429353348314e-177,0.560807226606727,0.560807226606727,"ENSMUSG00000015839","Nfe2l2"
"ENSMUSG00000034673",178,5.68242312352856e-170,4.80452067466885e-169,0.548336734717635,0.548336734717635,"ENSMUSG00000034673","Pbx2"
"ENSMUSG00000045817",177,2.26165641143164e-172,1.92304683570885e-171,0.54646005610057,0.54646005610057,"ENSMUSG00000045817","Zfp36l2"
"ENSMUSG00000000782",185,1.75138151431592e-160,1.42477252921376e-159,0.5382217668516,0.5382217668516,"ENSMUSG00000000782","Tcf7"
"ENSMUSG00000052040",191,2.99228686175386e-154,2.35779671567519e-153,0.538075032794768,0.538075032794768,"ENSMUSG00000052040","Klf13"
"ENSMUSG00000024406",216,9.17090901479759e-136,6.38991577188456e-135,0.536885974074529,0.536885974074529,"ENSMUSG00000024406","Pou5f1"
"ENSMUSG00000037608",258,9.73257694570488e-100,5.67733655166117e-99,0.531023690496904,0.531023690496904,"ENSMUSG00000037608","Bclaf1"
"ENSMUSG00000007812",199,2.9738232472166e-149,2.24904722967894e-148,0.528582682031252,0.528582682031252,"ENSMUSG00000007812","Zfp655"
"ENSMUSG00000068079",195,1.36334035226311e-151,1.05221909238769e-150,0.517678691219494,0.517678691219494,"ENSMUSG00000068079","Tcf15"
"ENSMUSG00000021127",205,6.00170850169002e-146,4.40613233904563e-145,0.516315931035663,0.516315931035663,"ENSMUSG00000021127","Zfp36l1"
